,0
ctx-lh-bankssts,0.0
ctx-lh-caudalanteriorcingulate,1.0
ctx-lh-caudalmiddlefrontal,1.0
ctx-lh-cuneus,0.0
ctx-lh-entorhinal,0.0
ctx-lh-fusiform,0.0
ctx-lh-inferiorparietal,0.0
ctx-lh-inferiortemporal,0.0
ctx-lh-isthmuscingulate,0.0
ctx-lh-lateraloccipital,0.0
ctx-lh-lateralorbitofrontal,1.0
ctx-lh-lingual,0.0
ctx-lh-medialorbitofrontal,1.0
ctx-lh-middletemporal,0.0
ctx-lh-parahippocampal,0.0
ctx-lh-paracentral,0.0
ctx-lh-parsopercularis,0.0
ctx-lh-parsorbitalis,1.0
ctx-lh-parstriangularis,1.0
ctx-lh-pericalcarine,0.0
ctx-lh-postcentral,0.0
ctx-lh-posteriorcingulate,1.0
ctx-lh-precentral,0.0
ctx-lh-precuneus,0.0
ctx-lh-rostralanteriorcingulate,1.0
ctx-lh-rostralmiddlefrontal,1.0
ctx-lh-superiorfrontal,1.0
ctx-lh-superiorparietal,0.0
ctx-lh-superiortemporal,0.0
ctx-lh-supramarginal,0.0
ctx-lh-frontalpole,1.0
ctx-lh-temporalpole,0.0
ctx-lh-transversetemporal,0.0
ctx-lh-insula,1.0
Left-Cerebellum-Cortex,0.0
Left-Thalamus-Proper,1.0
Left-Caudate,0.0
Left-Putamen,1.0
Left-Pallidum,1.0
Left-Hippocampus,0.0
Left-Amygdala,0.0
Left-Accumbens-area,1.0
Right-Thalamus-Proper,4.0
Right-Caudate,4.0
Right-Putamen,4.0
Right-Pallidum,3.0
Right-Hippocampus,3.0
Right-Amygdala,3.0
Right-Accumbens-area,4.0
ctx-rh-bankssts,0.0
ctx-rh-caudalanteriorcingulate,4.0
ctx-rh-caudalmiddlefrontal,3.0
ctx-rh-cuneus,0.0
ctx-rh-entorhinal,0.0
ctx-rh-fusiform,1.0
ctx-rh-inferiorparietal,3.0
ctx-rh-inferiortemporal,3.0
ctx-rh-isthmuscingulate,4.0
ctx-rh-lateraloccipital,1.0
ctx-rh-lateralorbitofrontal,4.0
ctx-rh-lingual,0.0
ctx-rh-medialorbitofrontal,1.0
ctx-rh-middletemporal,3.0
ctx-rh-parahippocampal,3.0
ctx-rh-paracentral,0.0
ctx-rh-parsopercularis,3.0
ctx-rh-parsorbitalis,1.0
ctx-rh-parstriangularis,0.0
ctx-rh-pericalcarine,0.0
ctx-rh-postcentral,3.0
ctx-rh-posteriorcingulate,4.0
ctx-rh-precentral,3.0
ctx-rh-precuneus,2.0
ctx-rh-rostralanteriorcingulate,4.0
ctx-rh-rostralmiddlefrontal,3.0
ctx-rh-superiorfrontal,4.0
ctx-rh-superiorparietal,3.0
ctx-rh-superiortemporal,2.0
ctx-rh-supramarginal,3.0
ctx-rh-frontalpole,4.0
ctx-rh-temporalpole,3.0
ctx-rh-transversetemporal,3.0
ctx-rh-insula,4.0
Right-Cerebellum-Cortex,0.0
