,0
ctx-lh-bankssts,0.0
ctx-lh-caudalanteriorcingulate,2.0
ctx-lh-caudalmiddlefrontal,2.0
ctx-lh-cuneus,0.0
ctx-lh-entorhinal,0.0
ctx-lh-fusiform,0.0
ctx-lh-inferiorparietal,0.0
ctx-lh-inferiortemporal,0.0
ctx-lh-isthmuscingulate,1.0
ctx-lh-lateraloccipital,0.0
ctx-lh-lateralorbitofrontal,2.0
ctx-lh-lingual,0.0
ctx-lh-medialorbitofrontal,2.0
ctx-lh-middletemporal,0.0
ctx-lh-parahippocampal,0.0
ctx-lh-paracentral,0.0
ctx-lh-parsopercularis,1.0
ctx-lh-parsorbitalis,1.0
ctx-lh-parstriangularis,1.0
ctx-lh-pericalcarine,0.0
ctx-lh-postcentral,0.0
ctx-lh-posteriorcingulate,1.0
ctx-lh-precentral,0.0
ctx-lh-precuneus,0.0
ctx-lh-rostralanteriorcingulate,2.0
ctx-lh-rostralmiddlefrontal,2.0
ctx-lh-superiorfrontal,1.0
ctx-lh-superiorparietal,0.0
ctx-lh-superiortemporal,0.0
ctx-lh-supramarginal,0.0
ctx-lh-frontalpole,2.0
ctx-lh-temporalpole,0.0
ctx-lh-transversetemporal,0.0
ctx-lh-insula,2.0
Left-Cerebellum-Cortex,0.0
Left-Thalamus-Proper,2.0
Left-Caudate,1.0
Left-Putamen,2.0
Left-Pallidum,2.0
Left-Hippocampus,0.0
Left-Amygdala,0.0
Left-Accumbens-area,2.0
Right-Thalamus-Proper,3.0
Right-Caudate,3.0
Right-Putamen,3.0
Right-Pallidum,2.0
Right-Hippocampus,2.0
Right-Amygdala,2.0
Right-Accumbens-area,4.0
ctx-rh-bankssts,0.0
ctx-rh-caudalanteriorcingulate,2.0
ctx-rh-caudalmiddlefrontal,2.0
ctx-rh-cuneus,0.0
ctx-rh-entorhinal,0.0
ctx-rh-fusiform,0.0
ctx-rh-inferiorparietal,2.0
ctx-rh-inferiortemporal,2.0
ctx-rh-isthmuscingulate,3.0
ctx-rh-lateraloccipital,0.0
ctx-rh-lateralorbitofrontal,4.0
ctx-rh-lingual,0.0
ctx-rh-medialorbitofrontal,2.0
ctx-rh-middletemporal,2.0
ctx-rh-parahippocampal,2.0
ctx-rh-paracentral,0.0
ctx-rh-parsopercularis,1.0
ctx-rh-parsorbitalis,1.0
ctx-rh-parstriangularis,0.0
ctx-rh-pericalcarine,0.0
ctx-rh-postcentral,2.0
ctx-rh-posteriorcingulate,3.0
ctx-rh-precentral,2.0
ctx-rh-precuneus,2.0
ctx-rh-rostralanteriorcingulate,4.0
ctx-rh-rostralmiddlefrontal,0.0
ctx-rh-superiorfrontal,3.0
ctx-rh-superiorparietal,2.0
ctx-rh-superiortemporal,2.0
ctx-rh-supramarginal,1.0
ctx-rh-frontalpole,2.0
ctx-rh-temporalpole,2.0
ctx-rh-transversetemporal,0.0
ctx-rh-insula,2.0
Right-Cerebellum-Cortex,0.0
